Severity 1-day,Severity 2-day,Severity 3-day,Severity 4-day,Severity 5-day,Severity 6-day,Severity 7-day,Total Deaths Hospital,Hospital Name,CMS Certification Number,countyFIPS,CountyName,StateName,System Affiliation
3,3,3,3,3,3,3,18.09,Bronx Psychiatric Center,334053,36005,Bronx,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,18.03,Valley Medical Center,500088,53033,King,Washington,"University of Washington Medicine - Seattle, WA"
3,3,3,3,3,3,3,17.96,Children's Hospital of Michigan,233300,26163,Wayne,Michigan,"TENET Healthcare - Dallas, TX"
3,3,3,3,3,3,3,17.89,NYC Health + Hospitals Bellevue,330204,36061,New York,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,17.78,Hackensack Meridian Health JFK Medical Center,310108,34023,Middlesex,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,17.42,NewYork-Presbyterian Lawrence Hospital,330061,36119,Westchester,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,17.39,EvergreenHealth Kirkland,500124,53033,King,Washington,"Evergreen Health - Kirkland, WA"
3,3,3,3,3,3,3,17.34,John T. Mather Memorial Hospital,330185,36103,Suffolk,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,17.16,Robert Wood Johnson University Hospital Somerset,310048,34035,Somerset,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,17.07,Northern Westchester Hospital,330162,36119,Westchester,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,17.06,Clara Maass Medical Center,310009,34013,Essex,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,16.96,New York Community Hospital,330019,36047,Kings,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,16.9,Saint Joseph Mercy Oakland,230029,26125,Oakland,Michigan,"Trinity Health - Livonia, MI"
3,3,3,3,3,3,3,16.88,The University of Chicago Medical Center,140088,17031,Cook,Illinois,"UChicago Medicine - Chicago, IL"
3,3,3,3,3,3,3,16.53,Calvary Hospital - Bronx Campus,332006,36005,Bronx,New York,"Archcare - NewYork, NY"
3,3,3,3,3,3,3,16.45,South Beach Psychiatric Center,334043,36085,Richmond,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,16.39,Saint Peter's University Hospital,310070,34023,Middlesex,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,16.3,Bridgeport Hospital,70010,9001,Fairfield,Connecticut,"Yale New Haven Health - New Haven, CT"
3,3,3,3,3,3,3,15.8,"Beaumont Hospital, Wayne",230142,26163,Wayne,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,15.77, Palisades Medical Center,310003,34017,Hudson,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,15.74,WellStar Kennestone Hospital,110035,13067,Cobb,Georgia,"WellStar Health System - Marietta, GA"
3,3,3,3,3,3,3,15.58,DMC Sinai-Grace Hospital,230024,26163,Wayne,Michigan,"TENET Healthcare - Dallas, TX"
3,3,3,3,3,3,3,15.38,Henry Ford Wyandotte Hospital,230146,26163,Wayne,Michigan,"Henry Ford Health System - Detroit, MI"
3,3,3,3,3,3,3,15.3,South Shore Hospital,220100,25021,Norfolk,Massachusetts,"Not In Any System - ,"
3,3,3,3,3,3,3,15.3,Kessler Institute for Rehabilitation - West Orange,313025,34013,Essex,New Jersey,"Select Medical Corporation - Mechanicsburg, PA"
3,3,3,3,3,3,3,15.02,Stanford Hospital,50441,6085,Santa Clara,California,"Stanford Health Care - Stanford, CA"
3,3,3,3,3,3,3,14.94,Aurora Sinai Medical Center,520064,55079,Milwaukee,Wisconsin,"Advocate Aurora Health - Downers Grove, IL"
3,3,3,3,3,3,3,14.54, Long Island Community Hospital,330141,36103,Suffolk,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,14.09,Christ Hospital,310016,34017,Hudson,New Jersey,"CarePoint Health - Jersey City, NJ"
3,3,3,3,3,3,3,13.54,"Beaumont Hospital,  Farmington Hills",230151,26125,Oakland,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,13.48,UCHealth Memorial Hospital Central,60022,8041,El Paso,Colorado,"UCHealth - Aurora, CO"
3,3,3,3,3,3,3,13.45,Cedars-Sinai Medical Center,50625,6037,Los Angeles,California,"Cedars Sinai Health System - Los Angeles, CA"
3,3,3,3,3,3,3,13.45,Kadlec Regional Medical Center,500058,53005,Benton,Washington,"Not In Any System - ,"
3,3,3,3,3,3,3,13.34,NewYork-Presbyterian Hudson Valley Hospital,330267,36119,Westchester,New York,"New York-Presbyterian Healthcare System - New York, NY"
3,3,3,3,3,3,3,13.08,IU Health Methodist University,150056,18097,Marion,Indiana,"Indiana University Health - Indianapolis, IN"
3,3,3,3,3,3,3,13.05,Evanston Hospital,140010,17031,Cook,Illinois,"NorthShore University HealthSystem - Chicago, IL"
3,3,3,3,3,3,3,13,Baystate Franklin Medical Center,220016,25011,Franklin,Massachusetts,"Baystate Health System, Inc - Springfield, MA"
3,3,3,3,3,3,3,12.9,Memorial Regional Hospital,100038,12011,Broward,Florida,"Memorial Healthcare System - Hollywood, FL"
3,3,3,3,3,3,3,12.87,Hackensack Meridian Health Mountainside Medical Center,310054,34013,Essex,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,12.78,Loyola University Medical Center,140276,17031,Cook,Illinois,"Trinity Health - Livonia, MI"
3,3,3,3,3,3,3,12.53,Montefiore New Rochelle Hospital,330184,36119,Westchester,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,12.48,Overlake Medical Center,500051,53033,King,Washington,"Not In Any System - ,"
3,3,3,3,3,3,3,12.08,Princeton Medical Center,310010,34023,Middlesex,New Jersey,"Penn Medicine - Philadelphia, PA"
3,3,3,3,3,3,3,12.03,Bergen New Bridge Medical Center,310058,34003,Bergen,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,12,Putnam Hospital Center,330273,36079,Putnam,New York,"Nuvance Health - Danbury, CT"
3,3,3,3,3,3,3,11.86,Henry Ford West Bloomfield Hospital,230302,26125,Oakland,Michigan,"Henry Ford Health System - Detroit, MI"
3,3,3,3,3,3,3,11.72,Hoboken University Medical Center,310040,34017,Hudson,New Jersey,"CarePoint Health - Jersey City, NJ"
3,3,3,3,3,3,3,11.66,Penrose-St. Francis Health Services,60031,8041,El Paso,Colorado,"Centura Health - Englewood, CO"
3,3,3,3,3,3,3,11.66,Berkshire Medical Center,220046,25003,Berkshire,Massachusetts,"Berkshire Health System - Pittsfield, MA"
3,3,3,3,3,3,3,11.65,Monmouth Medical Center,310075,34025,Monmouth,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,11.64,Swedish Edmonds Campus,500026,53061,Snohomish,Washington,"Swedish - Seattle, WA"
3,3,3,3,3,3,3,11.53,DMC Detroit Receiving Hospital,230273,26163,Wayne,Michigan,"TENET Healthcare - Dallas, TX"
3,3,3,3,3,3,3,11.5,Mercy Medical Center,330259,36059,Nassau,New York,"Catholic Health Services of Long Island - Rockville Centre, NY"
3,3,3,3,3,3,3,11.46,Pilgrim Psychiatric Center,334013,36103,Suffolk,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,11.29,Norwalk Hospital,70034,9001,Fairfield,Connecticut,"Nuvance Health - Danbury, CT"
3,3,3,3,3,3,3,11.24,Southern Ocean Medical Center,310113,34029,Ocean,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,11.15,Saint Charles Hospital,330246,36103,Suffolk,New York,"Catholic Health Services of Long Island - Rockville Centre, NY"
3,3,3,3,3,3,3,11.11,Saint Mary's Hospital,490059,51087,Henrico,Virginia,"Bon Secours Mercy Health - Cincinnati, OH"
3,3,3,3,3,3,3,11.03,Plainview Hospital,330331,36059,Nassau,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,11,Newton Medical Center,310028,34037,Sussex,New Jersey,"Atlantic Health System - Morristown, NJ"
3,3,3,3,3,3,3,11,Cartersville Medical Center,110030,13015,Bartow,Georgia,"HCA Healthcare - Nashville, TN"
3,3,3,3,3,3,3,10.77,Saint Catherine of Siena Medical Center,330401,36103,Suffolk,New York,"Catholic Health Services of Long Island - Rockville Centre, NY"
3,3,3,3,3,3,3,10.76,Strong Memorial Hospital,330285,36055,Monroe,New York,"The University of Rochester Medical Center - Rochester, NY"
3,3,3,3,3,3,3,10.68,Montefiore St. Lukes Cornwall,330264,36071,Orange,New York,"Montefiore Health System - Bronx, NY"
3,3,3,3,3,3,3,10.52,Hartford Hospital,70025,9003,Hartford,Connecticut,"Hartford Healthcare - Hartford, CT"
3,3,3,3,3,3,3,10.48,Greenwich Hospital,70018,9001,Fairfield,Connecticut,"Yale New Haven Health - New Haven, CT"
3,3,3,3,3,3,3,10.4,CentraState Medical Center,310111,34025,Monmouth,New Jersey,"Not In Any System - ,"
3,3,3,3,3,3,3,10.36,Advocate Christ Medical Center,140208,17031,Cook,Illinois,"Advocate Aurora Health - Downers Grove, IL"
3,3,3,3,3,3,3,10.3,Bayonne Medical Center,310025,34017,Hudson,New Jersey,"CarePoint Health - Jersey City, NJ"
3,3,3,3,3,3,3,10.26,Long Island Jewish Valley Stream,330372,36059,Nassau,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,10.21,"John H. Stroger, Jr. Hospital of Cook County",140124,17031,Cook,Illinois,"Cook County Health - Chicago, IL"
3,3,3,3,3,3,3,10.2,Saint Michael's Medical Center,310096,34013,Essex,New Jersey,"Prime Healthcare Services, Inc. - Ontario, CA"
3,3,3,3,3,3,3,10.18,Greystone Park Psychiatric Hospital,314016,34027,Morris,New Jersey,"NJ Health - Trenton, NJ"
3,3,3,3,3,3,3,10.17,Norton Hospital,180088,21111,Jefferson,Kentucky,"Norton Healthcare - Louisville, KY"
3,3,3,3,3,3,3,10.11,Children's Specialized Hospital,313300,34039,Union,New Jersey,"RWJBarnabas Health - West Orange, NJ"
3,3,3,3,3,3,3,10,Upper Valley Medical Center,360174,39109,Miami,Ohio,"Premier Health Partners - Dayton, OH"
3,3,3,3,3,3,3,10,Mitchell County Hospital,111331,13205,Mitchell,Georgia,"Archbold Medical Center - Thomasville, GA"
3,3,3,3,3,3,3,9.99,Buffalo General Medical Center,330005,36029,Erie,New York,"Kaleida Health - Buffalo, NY"
3,3,3,3,3,3,3,9.96,Raritan Bay Medical Center - Perth Amboy Division,310039,34023,Middlesex,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,9.93,Northwestern Memorial Hospital,140281,17031,Cook,Illinois,"Northwestern Medicine - Chicago, IL"
3,3,3,3,3,3,3,9.89,Virginia Mason Memorial,500036,53077,Yakima,Washington,"Not In Any System - ,"
3,3,3,3,3,3,3,9.84,Saint Clare's Denville Hospital,310050,34027,Morris,New Jersey,"Prime Healthcare Services, Inc. - Ontario, CA"
3,3,3,3,3,3,3,9.7,Hurley Medical Center,230132,26049,Genesee,Michigan,"Not In Any System - ,"
3,3,3,3,3,3,3,9.53,Sumner Regional Medical Center,440003,47165,Sumner,Tennessee,"LifePoint Health - Brentwood, TN"
3,3,3,3,3,3,3,9.29,University of Illinois Medical Center,140150,17031,Cook,Illinois,"Not In Any System - ,"
3,3,3,3,3,3,3,9.25,Riverview Medical Center,310034,34025,Monmouth,New Jersey,"Hackensack Meridian Health - Hackensack, NJ"
3,3,3,3,3,3,3,9.18,"Beaumont Hospital, Trenton",230176,26163,Wayne,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,9.14,Lutheran Medical Center,60009,8059,Jefferson,Colorado,"SCL Health - Denver, CO"
3,3,3,3,3,3,3,9.1,NYC Health + Hospitals Harlem,330240,36061,New York,New York,"NYC Health + Hospitals - New York, NY"
3,3,3,3,3,3,3,8.84,Mercy Health - Saint Elizabeth Youngstown Hospital,360064,39099,Mahoning,Ohio,"Bon Secours Mercy Health - Cincinnati, OH"
3,3,3,3,3,3,3,8.83,Northside Hospital Atlanta,110161,13121,Fulton,Georgia,"Northside Hospital - Atlanta, GA"
3,3,3,3,3,3,3,8.8,University of Maryland Prince George's Hospital Center,210003,24033,Prince George's,Maryland,"University of Maryland Medical System - Baltimore, MD"
3,3,3,3,3,3,3,8.8,Burke Rehabilitation Hospital,333030,36119,Westchester,New York,"Not In Any System - ,"
3,3,3,3,3,3,3,8.78,Ann & Robert H. Lurie Children's Hospital of Chicago,143300,17031,Cook,Illinois,"Not In Any System - ,"
3,3,3,3,3,3,3,8.71,Lahey Hospital and Medical Center Burlington,220171,25017,Middlesex,Massachusetts,"Beth Israel Lahey Health - Boston, MA"
3,3,3,3,3,3,3,8.7,Mid-Hudson Forensic Psychiatric Center,334061,36071,Orange,New York,"New York State Office of Mental Health - Albany, NY"
3,3,3,3,3,3,3,8.59,"Beaumont Hospital, Taylor",230270,26163,Wayne,Michigan,"Beaumont Health - Royal Oak, MI"
3,3,3,3,3,3,3,8.58,Los Angeles County and University of Southern California Medical Center,50373,6037,Los Angeles,California,"Los Angeles County, Department of Health Services - Los Angeles, CA"
3,3,3,3,3,3,3,8.5,Peconic Bay Medical Center,330107,36103,Suffolk,New York,"Northwell Health - Great Neck, NY"
3,3,3,3,3,3,3,8.49,Silver Cross Hospital,140213,17197,Will,Illinois,"Not In Any System - ,"
3,3,3,3,3,3,3,8.48,Lancaster General Hospital,390100,42071,Lancaster,Pennsylvania,"Penn Medicine - Philadelphia, PA"
3,3,3,3,3,3,3,8.42,Norman Regional Hospital,370008,40027,Cleveland,Oklahoma,"Norman Regional Health System - Norman, OK"
3,3,3,3,3,3,3,8.36,JFK Medical Center - Main,100080,12099,Palm Beach,Florida,"HCA Healthcare - Nashville, TN"
3,3,3,3,3,3,3,8.19,Stony Brook Southampton Hospital,330340,36103,Suffolk,New York,"Stony Brook Medicine - Stony Brook, NY"
3,3,3,3,3,3,3,8.16,UMass Memorial Medical Center - University Campus,220163,25027,Worcester,Massachusetts,"UMass Memorial Health Care - Worcester, MA"
3,3,3,3,3,3,3,8.04,McLaren Flint,230141,26049,Genesee,Michigan,"McLaren Health Care - Flint, MI"
